Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cart/add/anonymous-80/UHJ/1,1,0,13.157051056623459,13.157051056623459,13.157051056623459,13.157051056623459,230.0,0.01693811043348324,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/add/anonymous-81/RED/1,1,0,46.40786722302437,46.40786722302437,46.40786722302437,46.40786722302437,132.0,0.01693811043348324,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/api/cart/add/anonymous-81/SHCE/1,1,0,75.8580481633544,75.8580481633544,75.8580481633544,75.8580481633544,225.0,0.01693811043348324,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/api/cart/add/anonymous-82/HPTD/1,1,0,47.816297970712185,47.816297970712185,47.816297970712185,47.816297970712185,219.0,0.01693811043348324,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/cart/add/anonymous-82/RED/1,1,0,23.91567826271057,23.91567826271057,23.91567826271057,23.91567826271057,132.0,0.01693811043348324,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/api/cart/add/anonymous-83/HPTD/1,1,0,105.84201198071241,105.84201198071241,105.84201198071241,105.84201198071241,193.0,0.01693811043348324,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/cart/add/anonymous-83/Watson/1,1,0,102.42155566811562,102.42155566811562,102.42155566811562,102.42155566811562,106.0,0.01693811043348324,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/cart/add/anonymous-84/EPE/1,1,0,31.35114721953869,31.35114721953869,31.35114721953869,31.35114721953869,129.0,0.01693811043348324,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/api/cart/add/anonymous-84/SHCE/1,1,0,78.78981716930866,78.78981716930866,78.78981716930866,78.78981716930866,222.0,0.01693811043348324,0.0,79,79,79,79,79,79,79,79,79,79,79
GET,/api/cart/add/anonymous-85/RMC/1,1,0,95.17869539558887,95.17869539558887,95.17869539558887,95.17869539558887,184.0,0.01693811043348324,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/api/cart/add/anonymous-85/Watson/1,1,0,21.84695564210415,21.84695564210415,21.84695564210415,21.84695564210415,106.0,0.01693811043348324,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/api/cart/add/anonymous-86/EPE/1,2,0,94,96.43369726836681,93.73763110488653,99.1297634318471,129.5,0.03387622086696648,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/api/cart/add/anonymous-87/RED/1,1,0,19.619381986558437,19.619381986558437,19.619381986558437,19.619381986558437,132.0,0.01693811043348324,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/api/cart/add/anonymous-87/UHJ/1,1,0,13.939239084720612,13.939239084720612,13.939239084720612,13.939239084720612,209.0,0.01693811043348324,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-88/EPE/1,2,0,102.5088531896472,140.37087187170982,102.5088531896472,178.23289055377245,129.5,0.03387622086696648,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-89/EPE/1,2,0,13,55.35956285893917,12.920974753797054,97.79815096408129,129.5,0.03387622086696648,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/api/cart/add/anonymous-90/EPE/1,1,0,45.92836927622557,45.92836927622557,45.92836927622557,45.92836927622557,129.0,0.01693811043348324,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/api/cart/add/anonymous-90/HPTD/1,1,0,14.230532571673393,14.230532571673393,14.230532571673393,14.230532571673393,217.0,0.01693811043348324,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/cart/add/anonymous-91/EMM/1,1,0,16.687501221895218,16.687501221895218,16.687501221895218,16.687501221895218,201.0,0.01693811043348324,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/cart/add/anonymous-91/STAN-1/1,1,0,23.964861407876015,23.964861407876015,23.964861407876015,23.964861407876015,111.0,0.01693811043348324,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/api/cart/add/anonymous-92/EMM/1,1,0,14.910348691046238,14.910348691046238,14.910348691046238,14.910348691046238,221.0,0.01693811043348324,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-92/RED/1,1,0,74.33609385043383,74.33609385043383,74.33609385043383,74.33609385043383,132.0,0.01693811043348324,0.0,74,74,74,74,74,74,74,74,74,74,74
GET,/api/cart/add/anonymous-93/EMM/1,1,0,14.921502210199833,14.921502210199833,14.921502210199833,14.921502210199833,206.0,0.01693811043348324,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-93/Watson/1,1,0,172.22715262323618,172.22715262323618,172.22715262323618,172.22715262323618,106.0,0.01693811043348324,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/add/anonymous-94/EPE/1,1,0,106.66667576879263,106.66667576879263,106.66667576879263,106.66667576879263,129.0,0.01693811043348324,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/cart/add/anonymous-94/UHJ/1,1,0,16.335736960172653,16.335736960172653,16.335736960172653,16.335736960172653,220.0,0.01693811043348324,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/cart/add/anonymous-95/RMC/1,1,0,14.971744269132614,14.971744269132614,14.971744269132614,14.971744269132614,190.0,0.01693811043348324,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/cart/add/anonymous-95/STAN-1/1,1,0,17.047260887920856,17.047260887920856,17.047260887920856,17.047260887920856,111.0,0.01693811043348324,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/cart/add/anonymous-96/HPTD/1,1,0,99.13413319736719,99.13413319736719,99.13413319736719,99.13413319736719,121.0,0.01693811043348324,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/api/cart/add/anonymous-96/RMC/1,1,0,96.21634613722563,96.21634613722563,96.21634613722563,96.21634613722563,199.0,0.01693811043348324,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/api/cart/add/anonymous-97/HPTD/1,1,0,68.82023718208075,68.82023718208075,68.82023718208075,68.82023718208075,200.0,0.01693811043348324,0.0,69,69,69,69,69,69,69,69,69,69,69
GET,/api/cart/add/anonymous-97/STAN-1/1,1,0,108.81654545664787,108.81654545664787,108.81654545664787,108.81654545664787,111.0,0.01693811043348324,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/cart/add/anonymous-98/HPTD/1,1,0,65.59144705533981,65.59144705533981,65.59144705533981,65.59144705533981,213.0,0.01693811043348324,0.0,66,66,66,66,66,66,66,66,66,66,66
